date,excess_log_return,log_Mkt-RF,log_Mkt-RF^2,rev2,rev3,rev4,indmom,log_Mkt-RF_lag1,log_Mkt-RF_lag2,ep,quick,pctacc,egr,chsaleq,tang,chnanalyst,baspread,beta,chmom,max,gammaps,bm,cash,acc,cfpq,operprof,pchcurrat,pchsale_pchrect,roaq,roeq,sfe,first_lag_excess_return
2007-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-30,-6.180150393775857,1.4208661102864246,0.0252607351276165,27.68297408918178,-30.10595530696103,-34.12809389082798,-23.282095860865944,40.84585108663691,11.781346699491278,19.717151469103,1523.6112823678077,-2.6755312077719062,1.1033839270765329,83.32951269955322,599.2995570505819,-413.02757438484446,106.06487344270369,0.0,0.0,0.0,0.0,441.26477730635327,66.54029315266914,-91.68586035627516,90.99174294213611,153.10281460732983,3.058712225584028,214.08821328139183,41.45315892864059,75.68979577597825,17.639832796405784,0.0
2007-12-31,-3.01159070815242,-3.915715738678628,0.1931984070474302,-127.92145588359926,28.62528169723144,-29.158486743463374,19.73094568076808,22.715127743947,40.35915680597834,17.078045889652735,1377.3946086709311,-2.583732414344873,-133.36742009669075,-129.39272012003983,626.4555084160002,446.2556086023542,-23.06749249920649,0.0,0.0,0.0,0.0,-14.71337468618634,-15.993478048032486,-21.41339781372844,16.260173546198075,-24.21185766549428,-38.82841723981591,-295.502333835763,-6.512576970893932,-13.960944173586212,-8.106607228255077,-6.180150393775857
2008-01-31,5.742700076338687,-0.7965710238234377,0.0069445637981405,-93.82565150232692,-126.69576597090804,28.197654533018618,-0.1583184758965516,-69.99850594338237,22.494133302541623,16.922310552983,1362.1425380872852,-2.5621918741269454,-132.11062355297085,-128.06698445554727,619.9745381373962,485.1757316059335,83.3390615856558,0.0,0.0,0.0,0.0,-4.055843526012325,-0.5001108667603802,1.1400259651061333,-0.9884636497545074,-1.130785201557842,0.2021407175067295,0.7918884082154136,-0.3549847739335874,-0.5371996675073945,-1.5586534604984497,-3.01159070815242
2008-02-29,-7.58835528657803,-5.980940478543201,0.3921847587311428,-108.31918633900074,-94.03473678576005,-126.15612589425454,92.2011415358724,-12.317794453325314,-69.71157095790866,14.283096255017682,1272.950756923795,-3.1870041643235574,-122.8886789015696,-179.57641025600526,612.9677429158389,144.54774313282113,-16.405682719238,0.0,0.0,0.0,0.0,10.045342966354156,0.0957362819208924,-36.649459263587005,16.60838643348434,-15.435311459547634,-11.363942925344482,25.176614673643883,-6.661374248497509,-13.397145537171816,1.1753929912208925,5.742700076338687
2008-03-31,4.791282573826121,-2.870485404393649,0.0899808802144367,-49.63955360088086,-109.34463293736675,-95.37820155461138,-30.091345767732893,-93.41889204918355,-12.420353263604998,2.7450835278164547,1299.0116206697858,-2.4549919210939315,-13.320509767000916,-130.56327241247837,611.0836478337969,1083.5202435942444,-30.76336328204232,0.0,0.0,95.93582916169366,0.0,54.03465429168705,-4.4391586398900245,-23.568768509801917,30.00893268597747,-12.356913466145317,17.835497114703834,131.28705916028116,-5.871667975931096,-10.94554497561947,-4.17954047599777,-7.58835528657803
