date,excess_log_return,log_Mkt-RF,baspread,log_Mkt-RF^2,rev1,rev3,mom1m,max,log_Mkt-RF_lag1,cashdebt,cashpr,ep,lgr,pchquick,chtx,dy,pchcurrat,pchsale_pchrect,roaq,sue,sfe,aeavol,bm,quick,sp,stdcf,cfp,ol,noa,cfpq,rsup,first_lag_excess_return
2007-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,-0.3282298824345158,-0.4365331269538139,46.0518843251386,0.0136839695982923,-15.699931204075108,1.2370797064098176,-30.28533198841491,20.99530428288123,-12.716449053657316,4.782531710702565,479.8742209542352,2.279253802571665,6.625226125846881,-25.87440627941529,-28.530660790662157,15.895837302468944,-23.05328504851007,54.3002250585789,3.616153044083571,-0.0060060443817326,1.5467982716832545,-82.07071431222889,16.152575679640087,547.7169344016053,16.20350693599717,14.246456358335896,17.64944210075136,74981.22468169694,22235.218968253863,17.64944210075136,1.605615864716529,0.0
2008-04-30,-0.3128763863520373,-0.1298541024501825,69.04554613925103,0.0012114124491783,-1.2605093319604252,-14.547186795395705,-35.730200235407324,20.97568648602215,-6.073422981030063,4.778062962152482,479.4258314068513,2.277124091209225,6.619035582545811,-25.850229499722087,-28.504002034013272,15.880984395223436,-23.031744295543472,54.24948748553644,3.6127741477896977,-0.0060004323954989,0.0,0.0766860332083609,-0.0150928009503772,-0.5117810825980769,-0.0151403905936362,-0.0133117426179651,-0.0164914575727763,-70.06168685299053,-20.77636041655569,-0.0164914575727763,-0.0015002709864704,-0.3282298824345158
2008-05-30,0.7149238552115784,1.452746402128318,75.27128498756197,0.0652177490720771,-4.210547688293979,-15.586442570866682,-25.03061022222243,20.843537478562958,-4.983765374201436,42.96768925662261,23176.18619954549,7.621944354636605,6.577334969640797,-25.68737036406247,-28.32442385525284,25.451777315533413,-22.88664190994392,53.90771006951905,3.590013294736197,-0.0055782297847226,5.201737394059612,-112.28904067930512,47.23710133311749,209.7584765954349,18.864911874494588,-0.0896702920900196,5.225653668017909,3147890.5535479733,7205147.660408273,5.225653668017909,-0.0101060951546212,-0.3128763863520373
