date,excess_log_return,illiq,RF,log_Mkt-RF,baspread,log_Mkt-RF^2,coskew,size,rev1,rev2,rev3,rev4,mom1m,chmom,indmom,log_Mkt-RF_lag1,log_Mkt-RF_lag2,log_Mkt-RF_lag3,log_Mkt-RF_lag4,gammaps,aeavol,bm,rd_mve,cashpr,chatoia,chinv,ep,lev,lgr,pchquick,sp,acc,agr,chcapx,grnoa,pctacc,chatq,chcshoq,ibq_adj,chtx,invest,chinvest,currat,egr,operprof,pchcurrat,pchdepr,pchgm_pchsale,pchsale_pchinvt,saleinv,pchsaleinv,rd_sale,rsup,salerec,chsaleq,O-score,chfeps,sfe,chnanalyst,turn,beta,idiovol,mom,max,r_sq,cash,cashdebt,depr,gma,quick,stdacc,stdcf,cfp,oa,ol,noa,cfpq,dy,pchsale_pchrect,pchsale_pchxsga,roaq,roavol,roeq,salecash,tang,sue,disp
2006-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-31,22.9755971196881,0.9067328111173124,181.47659745549342,14.0839902462457,530.919927500578,0.4809317839133201,0.0,5547.587191844868,59.49504150402943,-43.15793202882122,-23.773893136634843,18.943863603016478,-65.87559898859232,0.0,-88.66015309385094,37.38434194417524,-109.43254013702153,2.034641839006224,1.2679079212252644,0.0,8382.023901778903,2323.950742574152,27.928753397817392,7261623.943500324,22.484395768359462,30.927600136877466,31.56546475011615,3703.1351046240543,528.8774974349599,563.366953404429,1714.8161065652916,-56.907240040891715,400.9292143667142,-734.4838171874878,638.9884803749404,-184.3871566285071,400.9292143667141,267.9178232781111,-154.53325024814208,1244.9956778477665,-1.5584506264940163,-71.62069653834202,14738.569333431327,197.21817363275395,451.89024583695254,565.1610271079134,686.3527532811621,27.892224347272105,-195.06075272569268,11487.725213540487,-27.24575832872593,107.1485846363679,201.9206813334409,10385.486403773877,89.8045150164427,-16414.005088459482,-25.392595421297557,61.37414435625524,-649.6075565834965,5676.441228184947,0.0,0.0,0.0,0.0,0.0,428.31380727107216,395.14465475310664,228.02082221615174,487.84126139769,9255.178273169115,4.650358895900809,208.16681661769985,136.8591778553718,10554464.528936202,3769586.6885385755,6784877.840397623,136.8591778553718,150.62365981641938,-169.09664933039912,-155.79346858079074,81.68167548057788,63.29216568986933,161.38398379978887,3324435.536069783,1651.6753796564876,2.930612341913543,1215.014968099925
2007-06-29,11.813509626979393,5.844825190950948,169.72478945705834,13.143178421262053,655.7041356074752,0.4172913527949786,0.0,5589.086279971167,294.3996199119182,60.39904971198443,-41.963272615429844,-23.43760810146151,649.5730439346951,0.0,25.996661604766622,190.85281856031943,37.66399795447927,-110.25115739709938,2.00586154633548,0.0,9281.368408537151,2358.458399210947,7.850057175393777,7548089.66520126,69.72938974236662,31.60746591884924,77.64375095627139,3719.3482739459337,583.8265464866148,324.30989504786356,1715.012468875543,31.78385842778733,401.5464810745146,-2119.09967551901,691.7127966836325,31.074782135898015,401.54648107451465,235.63150379080537,138.92795016192076,1499.8567863781825,4.975831454980646,-53.653652554100084,14651.532523120473,195.865572767258,462.51408100654373,273.7609382760454,564.0932416209521,-68.13836765011816,-31.025736169785493,11630.92418555238,126.50996223000278,38.68005097101513,122.20164817790969,10190.450506408548,260.01907711300726,-16887.598015986718,504.49996805475206,67.903097456425,928.7255943177677,-653.0511241536024,0.0,0.0,0.0,0.0,0.0,-7.011437945071066,46.89705689603119,-1.72819778241319,5.359188789525206,-102.36420903182079,0.025546821110484785,1.5974911601546466,-68.07024960043178,126219.24402619898,40617.22205505613,84034.37805644423,-68.07024960043178,-97.86732061145003,-188.03457684280508,14.198778315655716,28.9797096326876,0.7561906745813403,57.01348531231986,242185.8583061546,451.49995634668767,0.9560845625532881,-470.59594688155914
2007-07-31,-21.08182693658123,4.704997442484787,171.468556888386,-8.45466892135181,926.1996685568389,0.16675110088245373,0.0,5804.600230438431,357.05640549711484,297.1732912858177,62.31117313952849,-41.59611363088783,870.0687975220927,0.0,4.117029718614585,184.29404250309497,192.53409543085564,37.99579084645992,-111.22239126348849,0.0,9514.838778299762,2372.8849923035527,2.046946867443107,7533248.736637445,87.85923331194407,21.88634746261061,79.4793457521267,3734.0500562429174,138.42388685878427,344.316111486857,1731.4803940186373,29.451245153197615,171.8460091801161,-2148.437552913149,425.59688224133095,33.20949438162869,171.84600918011608,248.00163310562587,153.2390947711534,1579.8017297914678,5.052779245694456,-71.85986934541033,14764.628342896263,211.78947686930283,491.90888996031276,249.3934148699958,660.2659674251363,-65.04660996672536,162.3986294489166,11929.358732866453,294.31458069945575,20.27448505048467,127.11911364497844,10319.837652999424,346.11670136643886,-16891.494493478516,996.6417645251872,76.26006102336963,-166.86294569194865,866.3693491764343,0.0,0.0,0.0,0.0,0.0,5.406316056320009,10.57883635532636,6.786530705042594,11.00262889682034,110.9828004331448,0.06875039365850011,2.6528644598286917,1.9448113672380885,88644.97882732749,-11020.853455421515,-19273.77389071323,1.9448113672380885,-0.37612890377815944,47.2340319006849,77.20154277774891,2.449637840701115,0.7324490733362126,14.282265473287453,-4890.811329105869,17.90997425798969,0.03905440282417505,-17.10949345994061
